Localization Keys	english	czech
choicer_agree	YES	ANO
choicer_decline	NO	NE
npc_outofinteract	...	...
item_choice_pickup	Do you want to pick up the {item}?	Chceš si s sebou vzít předmět {item}?
item_confirm_pickup_KEY	The {item} was added to your key items!	Předmět {item}{count} byl přidán do tvých klíčových předmětů!
item_decline_GLOWING_MUSHROOM	It pays off to not steal from nature...	Někdy se vyplácí nekrást od přírody...
itemname_GLOWING_MUSHROOM	glowing mushroom	svítící houba
logo_press_anything	- PRESS ENTER OR Z -	- ZMÁČKNI ENTER NEBO Z -
logo_version_number	Version 0.4	Verze 0.4
quitting_game	Quitting game	Opouštím hru
character_max_stat	MAX	MAX
choose_lang_language	CHOOSE A LANGUAGE	VYBER SI JAZYK
choose_lang_confirm	PRESS ENTER TO CONFIRM	STISKNI ENTER NA POTVRZENÍ
choose_lang_move	MOVE USING THE ARROW KEYS	ZMĚŇ JAZYK POMOCÍ ŠIPEK NA KLÁVESNICI
choose_lang_czech	Czech	Čeština
choose_lang_english	English	Angličtina
save_file_PLAY_header	Please choose a file.	Vyber si svůj soubor, prosím.
save_file_COPY_header	Choose a file to copy.	Vyber soubor, který chceš zkopírovat.
save_file_ERASE_header	Choose a file to delete.	Vyber soubor, který chceš smazat.
save_file_UNABLETOCOPY_header	There's no space for new files. Delete some first.	Není místo pro nové soubory. Smaž nějaký soubor.
save_file_not_found	- EMPTY (CAN START NEW GAME) - 	- PRÁZDNÝ (MŮŽEŠ VYTVOŘIT) -
save_file_choice_PLAY	Start game from this file?	Spustit hru z tohoto souboru?
save_file_choice_ERASE	Delete this file?	Smazat tento soubor?
save_file_choice_COPY	Duplicate this file?	Zkopírovat tento soubor?
save_file_choice_ACTUALLY_ERASE	Are you really sure?	Jseš si opravdu jistý?
save_file_create	Start a new game?	Chceš hrát na novém souboru?
save_file_choice	      YES               NO	      ANO               NE
save_file_copy_label	COPY	KOPIE
save_file_erase_label	ERASE	SMAZAT
save_file_back_label	BACK	ZPĚT
room_name_Weird/SpawnRoom	?????	?????
room_name_Weird/SaveIntroRoom	Weird Forest - Beehives	Podivný les - Úly
legend_skip_cutscene	(skip cutscene with ENTER)	(přeskoč cutscénu s klávesou ENTER)
legend_panel1_whisper	A long time ago, people whispered a strange tale.	Tehdá se vyprávěl příběh, který si lidé dál šeptali.
legend_panel1_nation_unity	A tale about a nation.{1}\nA tale about their unity.	Byl to příběh národa.{1}\nByl to příběh jednoty.
legend_panel1_wise_mystical	A tale foretold by the wise.{1}\nA tale which granted mysticism.	Byl to příběh moudrosti.{1}\nByl to příběh mystiky.
legend_panel1_wmtale	They called it the \"Wise Mystical Tale\".	Tento příběh nesl název \"Wise Mystical Tale\".
legend_panel2_peace	For millenia everyone worshiped the Tree in peace.	Po tisíciletí svět žil pod Stromovcemi v míru.
legend_panel2_equality	Under it's branches would be everyone equal.	Pod Stromem by si všichni byli rovni.
legend_panel3_revolt	But if the people revolted...	Ale kdyby se lid proti nim spikl...
legend_panel4_wilbur	Wilbur Poop would cloud the skies,	Wilbur Poop by zakalil oblaka,
legend_panel4_yapp	Yapp Dollar would destroy the market	Yapp Dollar by zničil trh
